Birth Rate,Business Tax Rate,CO2 Emissions,Above Threshold?,GDP per Capita,Birth Rate Bin,Life Expectancy,Ease of Business (clusters),Country/Region,Days to Start Business,Ease of Business,Energy Usage,GDP per Capita (bin),GDP,Health Exp % GDP,Health Exp/Capita,Hours to do Tax,Infant Mortality Rate,Internet Usage,Lending Interest,Life Expectancy Female,Life Expectancy Male,Mobile Phone Usage,Number of Records,Population 0-14,Population 15-64,Population 65+,Population Total,Population Urban,Region,Tourism Inbound,Tourism Outbound,Year
4.2%,,2651,Below Threshold,$299,Above 3%,50,Moderate,Tanzania,,,13390,$0,$10B,3.4%,$10,,0.08,0%,0.216,51,49,0%,1,0.448,0.523,0.029,34.0M,22.3%,Africa,$0B,$0B,12/1/2000
3.9%,,1357,Below Threshold,$266,Above 3%,54,Low,Togo,,,2111,$0,$1B,5.3%,$14,,0.077,1%,,54,53,1%,1,0.442,0.529,0.029,4.9M,32.9%,Africa,$0B,$0B,12/1/2000
1.7%,,19923,Below Threshold,"$2,245",1.5-3%,73,Very Friendly,Tunisia,,,7306,$0,$21B,5.4%,$123,,0.026,3%,,75,71,1%,1,0.298,0.641,0.06,9.6M,63.4%,Africa,$2B,$0B,12/1/2000
4.8%,,1533,Below Threshold,$255,Above 3%,48,Moderate,Uganda,,,,$0,$6B,6.6%,$16,,0.089,0%,0.229,48,48,1%,1,0.493,0.481,0.027,24.3M,12.1%,Africa,$0B,,12/1/2000
4.5%,,1819,Below Threshold,$322,Above 3%,42,Friendly,Zambia,,,6244,$0,$3B,5.6%,$18,,0.1,0%,0.388,42,42,1%,1,0.457,0.515,0.027,10.1M,34.8%,Africa,$0B,$0B,12/1/2000
3.2%,,13887,Below Threshold,$535,Above 3%,44,Low,Zimbabwe,,,9865,$0,$7B,,,,0.061,0%,0.682,44,44,2%,1,0.422,0.545,0.034,12.5M,33.8%,Africa,$0B,,12/1/2000
5.0%,,781,Below Threshold,,Above 3%,55,Low,Afghanistan,,,,,,,,,0.095,,,56,54,,1,0.495,0.485,0.02,20.6M,21.3%,Asia,,,12/1/2000
1.3%,,3465,Below Threshold,$621,Below 1.5%,72,Very Friendly,Armenia,,,2015,$0,$2B,6.3%,$39,,0.027,1%,0.316,75,68,1%,1,0.259,0.641,0.1,3.1M,64.7%,Asia,$0B,$0B,12/1/2000
1.5%,,29508,Below Threshold,$655,1.5-3%,67,Friendly,Azerbaijan,,,11296,$0,$5B,4.7%,$30,,0.061,0%,0.197,70,64,5%,1,0.311,0.633,0.056,8.0M,51.4%,Asia,$0B,$0B,12/1/2000
2.7%,,27869,Below Threshold,$356,1.5-3%,66,Moderate,Bangladesh,,,18591,$0,$47B,2.8%,$10,,0.064,0%,0.155,66,65,0%,1,0.37,0.59,0.041,132.4M,23.6%,Asia,$0B,$0B,12/1/2000
2.8%,,400,Below Threshold,$778,1.5-3%,60,Low,Bhutan,,,,$0,$0B,6.7%,$52,,0.059,0%,0.16,60,60,,1,0.406,0.556,0.038,0.6M,25.4%,Asia,$0B,,12/1/2000
2.3%,,6527,Below Threshold,"$18,087",1.5-3%,76,Friendly,Brunei,,,2385,"$14,064",$6B,3.0%,$543,,0.008,9%,0.055,78,74,29%,1,0.304,0.668,0.028,0.3M,71.2%,Asia,,,12/1/2000
2.8%,,1977,Below Threshold,$299,1.5-3%,62,Moderate,Cambodia,,,3412,$0,$4B,6.3%,$19,,0.082,0%,,65,59,1%,1,0.408,0.554,0.038,12.2M,18.6%,Asia,$0B,$0B,12/1/2000
1.4%,,3405180,Below Threshold,$950,Below 1.5%,73,Friendly,China,,,1161353,$0,"$1,200B",4.6%,$43,,0.03,2%,0.059,74,71,7%,1,0.256,0.675,0.069,"1,262.6M",35.9%,Asia,$17B,$14B,12/1/2000
1.2%,,4536,Below Threshold,$692,Below 1.5%,72,Very Friendly,Georgia,,,2869,$0,$3B,6.9%,$45,,0.031,1%,0.247,75,68,4%,1,0.219,0.656,0.125,4.4M,52.6%,Asia,$0B,$0B,12/1/2000
0.8%,,40465,Below Threshold,"$25,806",Below 1.5%,81,Very Friendly,Hong Kong SAR,,,13392,"$23,440",$172B,,,,,28%,0.095,84,78,80%,1,0.173,0.717,0.11,6.7M,100.0%,Asia,$8B,$13B,12/1/2000
2.6%,,1186663,Below Threshold,$458,1.5-3%,62,Moderate,India,,,457198,$0,$477B,4.3%,$20,,0.067,1%,0.123,63,61,0%,1,0.342,0.614,0.044,"1,042.3M",27.7%,Asia,$4B,$4B,12/1/2000
2.2%,,263419,Below Threshold,$790,1.5-3%,67,Moderate,Indonesia,,,154768,$0,$165B,2.0%,$15,,0.041,1%,0.185,69,65,2%,1,0.307,0.647,0.047,208.9M,42.0%,Asia,$5B,$3B,12/1/2000
0.9%,,1219589,Below Threshold,"$37,282",Below 1.5%,82,Very Friendly,Japan,,,518964,"$32,816","$4,730B",7.6%,"$2,834",,0.003,30%,0.021,85,78,53%,1,0.146,0.682,0.172,126.9M,78.6%,Asia,$6B,$43B,12/1/2000
1.5%,,127769,Below Threshold,"$1,229",1.5-3%,66,Friendly,Kazakhstan,,,35679,$0,$18B,4.2%,$52,,0.038,1%,,71,60,1%,1,0.277,0.655,0.068,14.9M,55.7%,Asia,$0B,$0B,12/1/2000
1.8%,,76699,Below Threshold,,1.5-3%,65,Not Clustered,North Korea,,,19717,,,,,,0.045,,,69,61,,1,0.26,0.681,0.059,22.8M,59.4%,Asia,,,12/1/2000
1.3%,,447561,Below Threshold,"$11,955",Below 1.5%,76,Very Friendly,South Korea,,,188161,"$9,376",$562B,4.3%,$491,,0.005,45%,0.085,80,72,58%,1,0.21,0.717,0.073,47.0M,79.6%,Asia,$9B,$8B,12/1/2000
2.0%,,4529,Below Threshold,$280,1.5-3%,69,Friendly,Kyrgyzstan,,,2317,$0,$1B,4.7%,$13,,0.042,1%,0.519,72,65,0%,1,0.35,0.596,0.055,4.9M,35.3%,Asia,$0B,$0B,12/1/2000
3.1%,,972,Below Threshold,$321,Above 3%,62,Low,Laos,,,,$0,$2B,3.3%,$11,,0.083,0%,0.32,63,60,0%,1,0.435,0.529,0.036,5.4M,22.0%,Asia,$0B,$0B,12/1/2000
0.9%,,1635,Below Threshold,"$14,128",Below 1.5%,78,Not Clustered,Macao SAR,,,,"$14,064",$6B,,,,,14%,0.099,80,75,33%,1,0.228,0.698,0.074,0.4M,100.0%,Asia,$3B,,12/1/2000
2.3%,,126603,Below Threshold,"$4,005",1.5-3%,73,Very Friendly,Malaysia,,,47110,$0,$94B,3.0%,$120,,0.009,21%,0.077,75,71,22%,1,0.333,0.628,0.038,23.4M,62.0%,Asia,$6B,$3B,12/1/2000
2.5%,,499,Below Threshold,"$2,289",1.5-3%,70,Friendly,Maldives,,,,$0,$1B,7.1%,$162,,0.035,2%,0.13,70,69,3%,1,0.413,0.549,0.038,0.3M,27.7%,Asia,$0B,$0B,12/1/2000
1.9%,,7506,Below Threshold,$474,1.5-3%,63,Friendly,Mongolia,,,2397,$0,$1B,4.7%,$22,,0.049,1%,0.37,66,60,6%,1,0.348,0.615,0.037,2.4M,57.1%,Asia,$0B,$0B,12/1/2000
2.1%,,10088,Below Threshold,,1.5-3%,62,Low,Myanmar,,,12841,,,2.1%,$3,,0.059,,0.153,64,60,0%,1,0.307,0.645,0.047,48.5M,27.0%,Asia,$0B,$0B,12/1/2000
3.3%,,3234,Below Threshold,$237,Above 3%,62,Moderate,Nepal,,,8108,$0,$5B,5.0%,$12,,0.06,0%,0.095,63,61,0%,1,0.404,0.558,0.038,23.2M,13.4%,Asia,$0B,$0B,12/1/2000
3.1%,,106449,Below Threshold,$514,Above 3%,64,Moderate,Pakistan,,,64067,$0,$74B,3.0%,$15,,0.088,,,65,63,0%,1,0.415,0.546,0.039,143.8M,33.2%,Asia,$1B,$1B,12/1/2000
3.0%,,73307,Below Threshold,"$1,043",Above 3%,67,Moderate,Philippines,,,39872,$0,$81B,3.2%,$33,,0.03,2%,0.109,70,64,8%,1,0.385,0.583,0.032,77.7M,48.0%,Asia,$2B,$2B,12/1/2000
1.2%,,49006,Below Threshold,"$23,793",Below 1.5%,78,Very Friendly,Singapore,,,18692,"$23,440",$96B,2.7%,$662,,0.003,36%,0.058,80,76,70%,1,0.215,0.712,0.073,4.0M,100.0%,Asia,$5B,$5B,12/1/2000
1.8%,,10161,Below Threshold,$855,1.5-3%,72,Friendly,Sri Lanka,,,8327,$0,$16B,3.7%,$32,,0.014,1%,0.162,75,68,2%,1,0.269,0.669,0.063,19.1M,18.4%,Asia,$0B,$0B,12/1/2000
3.0%,,2237,Below Threshold,$139,Above 3%,64,Moderate,Tajikistan,,,2149,$0,$1B,4.6%,$6,,0.075,0%,0.256,68,60,0%,1,0.429,0.536,0.035,6.2M,26.5%,Asia,,,12/1/2000
1.5%,,188355,Below Threshold,"$1,973",1.5-3%,71,Very Friendly,Thailand,,,72284,$0,$123B,3.4%,$67,,0.019,4%,0.078,75,67,5%,1,0.242,0.693,0.066,62.3M,31.4%,Asia,$10B,$3B,12/1/2000
4.3%,,,Below Threshold,$410,Above 3%,60,Low,Timor-Leste,,,,$0,$0B,5.1%,$19,,0.084,,,61,58,,1,0.498,0.479,0.024,0.9M,24.3%,Asia,,,12/1/2000
2.4%,,35365,Below Threshold,$645,1.5-3%,64,Not Clustered,Turkmenistan,,,14871,$0,$3B,3.9%,$44,,0.066,0%,,68,60,0%,1,0.363,0.594,0.043,4.5M,45.9%,Asia,,,12/1/2000
2.1%,,119951,Below Threshold,$558,1.5-3%,67,Low,Uzbekistan,,,50757,$0,$14B,5.3%,$29,,0.053,1%,,70,64,0%,1,0.373,0.584,0.043,24.7M,37.4%,Asia,$0B,,12/1/2000
1.7%,,53645,Below Threshold,$433,1.5-3%,74,Friendly,Vietnam,,,28736,$0,$34B,5.3%,$20,,0.027,0%,0.106,78,69,1%,1,0.316,0.62,0.064,77.6M,24.4%,Asia,,,12/1/2000
1.9%,,3022,Below Threshold,"$1,193",1.5-3%,74,Friendly,Albania,,,1763,$0,$4B,6.4%,$70,,0.023,0%,0.221,77,71,1%,1,0.303,0.628,0.068,3.1M,41.7%,Europe,$0B,$0B,12/1/2000
1.1%,,524,Below Threshold,"$17,334",Below 1.5%,,Not Clustered,Andorra,,,,"$14,064",$1B,6.2%,"$1,330",,0.004,11%,,,,36%,1,,,,0.1M,92.4%,Europe,,,12/1/2000
1.0%,,63696,Below Threshold,"$23,965",Below 1.5%,78,Very Friendly,Austria,,,28558,"$23,440",$192B,10.0%,"$2,403",,0.005,34%,,81,75,76%,1,0.17,0.675,0.155,8.0M,65.8%,Europe,$11B,$7B,12/1/2000
0.9%,,53469,Below Threshold,"$1,273",Below 1.5%,69,Friendly,Belarus,,,24695,$0,$13B,6.1%,$64,,0.011,2%,0.677,75,63,1%,1,0.186,0.679,0.134,10.0M,70.0%,Europe,$0B,$0B,12/1/2000
1.1%,,115709,Below Threshold,"$22,729",Below 1.5%,78,Very Friendly,Belgium,,,58508,"$18,752",$233B,8.1%,"$1,845",,0.005,29%,0.08,81,75,55%,1,0.176,0.655,0.169,10.3M,97.1%,Europe,$7B,$9B,12/1/2000
1.0%,,23223,Below Threshold,"$1,436",Below 1.5%,75,Moderate,Bosnia and Herzegovina,,,4346,$0,$6B,7.1%,$103,,0.008,1%,0.305,77,72,2%,1,0.202,0.691,0.107,3.8M,39.3%,Europe,$0B,$0B,12/1/2000
0.9%,,43531,Below Threshold,"$1,579",Below 1.5%,72,Friendly,Bulgaria,,,18688,$0,$13B,6.2%,$98,,0.018,5%,0.113,75,68,9%,1,0.157,0.677,0.166,8.2M,68.9%,Europe,$1B,$1B,12/1/2000
1.0%,,19644,Below Threshold,"$4,862",Below 1.5%,73,Friendly,Croatia,,,7790,"$4,688",$22B,7.8%,$377,,0.007,7%,0.121,77,69,23%,1,0.172,0.673,0.156,4.4M,55.6%,Europe,$3B,$1B,12/1/2000
1.3%,,6850,Below Threshold,"$9,875",Below 1.5%,78,Very Friendly,Cyprus,,,2137,"$9,376",$9B,5.8%,$744,,0.006,15%,0.08,80,76,23%,1,0.224,0.674,0.102,0.9M,68.6%,Europe,$2B,$1B,12/1/2000
0.9%,,124649,Below Threshold,"$5,734",Below 1.5%,75,Friendly,Czech Republic,,,40993,"$4,688",$59B,6.3%,$361,,0.006,10%,0.072,78,72,42%,1,0.165,0.697,0.138,10.3M,74.0%,Europe,$3B,$1B,12/1/2000
1.3%,,47260,Below Threshold,"$29,965",Below 1.5%,77,Very Friendly,Denmark,,,18634,"$28,128",$160B,8.7%,"$2,613",,0.005,39%,0.081,79,74,63%,1,0.185,0.667,0.149,5.3M,85.1%,Europe,$4B,$5B,12/1/2000
1.0%,,15181,Below Threshold,"$4,063",Below 1.5%,71,Very Friendly,Estonia,,,4715,$0,$6B,5.3%,$213,,0.009,29%,0.074,76,65,41%,1,0.18,0.669,0.152,1.4M,69.4%,Europe,$1B,$0B,12/1/2000
,,711,Below Threshold,"$22,850",Above 3%,79,Not Clustered,Faeroe Islands,,,,"$18,752",$1B,,,,,33%,,82,76,37%,1,,,,0.0M,36.3%,Europe,,,12/1/2000
1.1%,,52141,Below Threshold,"$23,569",Below 1.5%,78,Very Friendly,Finland,,,32233,"$23,440",$122B,7.2%,"$1,700",,0.004,37%,0.056,81,74,72%,1,0.182,0.669,0.149,5.2M,82.2%,Europe,$2B,$2B,12/1/2000
1.3%,,365560,Below Threshold,"$21,835",Below 1.5%,79,Very Friendly,France,,,251981,"$18,752","$1,330B",10.1%,"$2,209",,0.004,14%,0.067,83,75,49%,1,0.189,0.65,0.16,60.9M,75.9%,Europe,$39B,$27B,12/1/2000
0.9%,,829978,Below Threshold,"$22,989",Below 1.5%,78,Very Friendly,Germany,,,336584,"$18,752","$1,890B",10.4%,"$2,387",,0.004,30%,0.096,81,75,58%,1,0.156,0.681,0.163,82.2M,73.1%,Europe,$25B,$58B,12/1/2000
1.0%,,91616,Below Threshold,"$11,358",Below 1.5%,78,Friendly,Greece,,,27086,"$9,376",$124B,7.9%,$918,,0.007,9%,0.123,81,75,54%,1,0.152,0.68,0.168,10.9M,72.7%,Europe,$9B,$5B,12/1/2000
1.0%,,57238,Below Threshold,"$4,543",Below 1.5%,72,Friendly,Hungary,,,24999,$0,$46B,7.2%,$326,,0.01,7%,0.126,76,67,30%,1,0.168,0.68,0.151,10.2M,64.6%,Europe,$4B,$2B,12/1/2000
1.4%,,2164,Below Threshold,"$30,929",Below 1.5%,80,Very Friendly,Iceland,,,3100,"$28,128",$9B,9.5%,"$2,961",,0.003,45%,0.168,82,78,76%,1,0.233,0.651,0.116,0.3M,92.4%,Europe,$0B,$0B,12/1/2000
1.4%,,41345,Below Threshold,"$25,579",Below 1.5%,77,Very Friendly,Ireland,,,13574,"$23,440",$97B,6.1%,"$1,572",,0.006,18%,0.048,79,74,65%,1,0.218,0.67,0.112,3.8M,59.1%,Europe,$4B,$3B,12/1/2000
,,,Below Threshold,"$20,359",Above 3%,,Not Clustered,Isle of Man,,,,"$18,752",$2B,,,,,,,,,,1,,,,0.1M,51.8%,Europe,,,12/1/2000
1.0%,,451441,Below Threshold,"$19,318",Below 1.5%,80,Friendly,Italy,,,171522,"$18,752","$1,100B",7.9%,"$1,527",,0.005,23%,0.07,83,77,74%,1,0.143,0.674,0.183,56.9M,67.2%,Europe,$29B,$18B,12/1/2000
2.3%,,,Below Threshold,"$1,088",1.5-3%,68,Friendly,Kosovo,,,1545,$0,$2B,,,,,,,70,66,,1,,,,1.7M,,Europe,,,12/1/2000
0.9%,,6241,Below Threshold,"$3,309",Below 1.5%,71,Very Friendly,Latvia,,,3832,$0,$8B,6.0%,$197,,0.015,6%,0.119,76,65,17%,1,0.179,0.671,0.15,2.4M,68.1%,Europe,$0B,$0B,12/1/2000
1.3%,,,Below Threshold,"$75,058",Below 1.5%,77,Not Clustered,Liechtenstein,,,,"$75,008",$2B,,,,,37%,,80,74,30%,1,,,,0.0M,15.1%,Europe,,,12/1/2000
1.0%,,12200,Below Threshold,"$3,267",Below 1.5%,73,Very Friendly,Lithuania,,,7131,$0,$11B,6.5%,$212,,0.01,6%,0.121,78,67,15%,1,0.199,0.662,0.139,3.5M,67.0%,Europe,$0B,$0B,12/1/2000
